,educ_promotion,educ_master,educ_bachelor,educ_ausbildung,leadership_skills,soft_skills_communication_team,soft_skills_resilience,soft_skills_innovation_digital,travel,denkweis_analytisch,denkweis_kreativ,pc_basic,pc_specialized,programming_languages,artificial_inelligence,foreign_languages,local_language,project_management,experience
finance,0.0,0.07,0.1,0.15,0.1,0.65,0.35,0.1,0.07,0.65,0.06,0.55,0.11,0.05,0.02,0.53,0.55,0.03,0.06
mkt,0.0,0.05,0.07,0.07,0.16,0.49,0.37,0.1,0.02,0.42,0.32,0.44,0.22,0.06,0.0,0.44,0.51,0.02,0.1
accounting,0.0,0.0,0.0,0.2,0.16,0.68,0.45,0.16,0.0,0.7,0.04,0.57,0.05,0.0,0.0,0.52,0.48,0.0,0.05
ds,0.0,0.02,0.07,0.05,0.12,0.51,0.37,0.07,0.09,0.7,0.07,0.44,0.26,0.37,0.12,0.44,0.53,0.07,0.12
consult,0.0,0.03,0.13,0.1,0.1,0.82,0.39,0.08,0.08,0.62,0.07,0.56,0.0,0.03,0.0,0.56,0.59,0.03,0.05
sales,0.0,0.05,0.04,0.05,0.17,0.54,0.37,0.06,0.04,0.35,0.16,0.48,0.06,0.03,0.0,0.38,0.47,0.02,0.06
supply,0.0,0.04,0.04,0.0,0.21,0.67,0.58,0.0,0.0,0.46,0.08,0.58,0.25,0.08,0.0,0.54,0.67,0.04,0.0
pr,0.0,0.06,0.08,0.08,0.15,0.66,0.45,0.13,0.01,0.41,0.4,0.57,0.23,0.04,0.01,0.54,0.56,0.01,0.1
hr,0.0,0.11,0.14,0.09,0.22,0.62,0.38,0.01,0.06,0.46,0.14,0.48,0.01,0.01,0.0,0.44,0.47,0.0,0.1
projmag,0.0,0.05,0.05,0.05,0.11,0.52,0.52,0.14,0.05,0.52,0.16,0.66,0.16,0.09,0.0,0.45,0.43,0.07,0.05
